Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
48616787,The Lying Life of Adults,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,1609455916,9781609455910,0,3.68,Europa Editions,Hardcover,336,2020,2019,,2020/10/29,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
35570812,The Only Story,Julian Barnes,"Barnes, Julian",,1473554799,9781473554795,4,3.61,Vintage Digital,ebook,272,2018,2018,2021/02/03,2019/12/25,,,read,,,,1,,,0,,,,,
51854625,The Devil and the Dark Water,Stuart Turton,"Turton, Stuart",,1728206022,9781728206028,3,3.88,Sourcebooks Landmark,Hardcover,463,2020,2020,2021/01/12,2020/12/28,,,read,,,,1,,,0,,,,,
758037,The Women in Black,Madeleine St. John,"John, Madeleine St.",,0349105227,9780349105222,3,3.62,Abacus,Paperback,141,1994,1993,2020/12/27,2020/10/29,,,read,,,,1,,,0,,,,,
40648401,Normal People,Sally Rooney,"Rooney, Sally",,,,3,3.86,Faber & Faber,Kindle Edition,268,2018,2018,2020/10/19,2020/04/27,,,read,,,,1,,,0,,,,,
28449257,The Wonder,Emma Donoghue,"Donoghue, Emma",,0316393878,9780316393874,3,3.62,"Little, Brown and Company",Hardcover,291,2016,2016,2020/09/01,2017/12/28,,,read,,,,1,,,0,,,,,
287019,Towards the End of the Morning,Michael Frayn,"Frayn, Michael",,0571225578,9780571225576,0,3.64,Faber & Faber,Paperback,221,2005,1967,,2020/08/28,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
36586697,Queenie,Candice Carty-Williams,"Carty-Williams, Candice",,,,0,3.88,Orion Publishing,Hardcover,330,2019,2019,,2020/08/20,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,0156001314,9780156001311,0,4.13,Harvest Books,Paperback,536,1994,1980,,2020/05/05,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
35277858,Ordinary People,Diana Evans,"Evans, Diana",,1784742163,9781784742164,0,3.38,Chatto & Windus,Paperback,336,2018,2018,,2020/04/29,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
101926,An Experiment in Love,Hilary Mantel,"Mantel, Hilary",,080505202X,9780805052022,0,3.66,Holt Paperbacks,Paperback,256,1997,1995,,2020/04/29,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
33590210,An American Marriage,Tayari Jones,"Jones, Tayari",,1616201347,9781616201340,0,3.95,Algonquin Books,Hardcover,308,2018,2018,,2020/04/27,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
22501028,A Spool of Blue Thread,Anne Tyler,"Tyler, Anne",,0385683421,9780385683425,0,3.43,Bond Street Books,Hardcover,358,2015,2015,,2020/04/27,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
